"date","close","volume","open","high","low"
"14:47","61.3901","4,801,815","61.21","61.46","60.95"
"2018/01/18","61.0900","9170630.0000","61.4300","61.4400","60.7350"
"2018/01/17","60.6600","8417163.0000","61.0000","61.3300","60.5200"
"2018/01/16","60.5600","7964914.0000","60.3300","61.1000","60.3000"
"2018/01/12","60.4000","6980995.0000","60.4000","60.5100","59.6500"
"2018/01/11","60.0000","5804917.0000","59.7600","60.0200","59.4541"
"2018/01/10","59.8200","8652883.0000","59.2400","60.1300","58.8550"
"2018/01/09","59.1800","5223952.0000","59.2000","59.4700","58.8600"
"2018/01/08","59.3100","6302806.0000","59.4800","59.6700","58.5600"
"2018/01/05","59.6100","6046984.0000","59.2500","59.6900","59.0700"
"2018/01/04","58.9300","5769653.0000","58.9900","59.4100","58.7300"
"2018/01/03","58.7100","7464021.0000","57.9300","58.9600","57.8000"
"2018/01/02","57.6300","7206985.0000","57.9500","58.2100","57.4800"
"2017/12/29","57.4300","5364246.0000","57.7400","57.9700","57.4200"
"2017/12/28","57.8100","5034366.0000","57.4700","58.0000","57.3000"
"2017/12/27","57.2700","4811991.0000","57.1900","57.6500","57.1800"
"2017/12/26","57.1400","5545956.0000","57.2700","57.5799","57.0500"
"2017/12/22","57.3000","7130581.0000","57.5700","57.9100","57.1200"
"2017/12/21","57.5800","5973671.0000","57.9400","58.1450","57.4900"
"2017/12/20","57.7300","7188532.0000","58.2200","58.2900","57.6900"
"2017/12/19","58.0100","7945754.0000","58.1300","58.5750","57.9300"
"2017/12/18","58.0300","8747889.0000","58.4400","58.7860","57.8900"
"2017/12/15","58.2900","22588230.0000","59.2500","59.3700","58.1574"
"2017/12/14","59.7000","8945943.0000","59.7300","60.0500","59.4400"
"2017/12/13","59.4900","7720099.0000","59.4400","59.8900","59.3000"
"2017/12/12","59.2700","6042882.0000","58.9900","59.3600","58.8700"
"2017/12/11","59.0700","10278820.0000","58.3900","59.3500","58.2900"
"2017/12/08","58.6100","9938956.0000","58.5200","58.8450","58.1000"
"2017/12/07","59.1400","6024901.0000","59.1200","59.2750","58.7610"
"2017/12/06","59.2800","8275671.0000","59.3800","59.8300","59.2300"
"2017/12/05","59.3400","11286410.0000","59.2500","59.6800","58.9100"
"2017/12/04","58.7600","13295020.0000","57.5400","59.1900","57.5000"
"2017/12/01","57.3200","12762220.0000","57.5000","57.7100","56.4610"
"2017/11/30","57.8200","11508420.0000","57.6400","58.1399","57.4700"
"2017/11/29","57.5100","10010770.0000","56.7100","57.6800","56.7000"
"2017/11/28","56.6600","9727816.0000","56.0300","56.7200","55.9101"
"2017/11/27","55.9100","10580160.0000","56.8300","56.9207","55.7510"
"2017/11/24","56.8000","3479177.0000","57.1900","57.1900","56.7100"
"2017/11/22","57.1400","7308788.0000","57.0700","57.1800","56.7950"
"2017/11/21","57.2600","6274402.0000","56.9600","57.5600","56.8800"
"2017/11/20","56.8100","6353162.0000","56.6700","57.0500","56.5800"
"2017/11/17","56.9300","6310898.0000","57.2400","57.4300","56.8400"
"2017/11/16","57.2400","8310369.0000","56.9200","57.4200","56.7500"
"2017/11/15","56.7000","8873606.0000","56.8200","57.0600","56.5100"
"2017/11/14","56.9300","7751924.0000","56.4700","57.0000","56.4100"
"2017/11/13","56.6400","7645677.0000","56.8100","57.1400","56.5500"
"2017/11/10","57.0400","7930117.0000","57.3600","57.3900","56.5400"
"2017/11/09","57.3600","14777330.0000","57.2000","57.6600","56.7850"
"2017/11/08","57.9100","13522340.0000","57.0300","58.0100","57.0000"
"2017/11/07","57.2200","11155700.0000","56.3300","57.2900","56.3300"
"2017/11/06","56.5700","10830030.0000","55.9900","56.6900","55.6300"
"2017/11/03","56.0300","28769360.0000","54.1600","56.9400","54.0500"
"2017/11/02","54.8700","16003980.0000","55.1500","55.3900","54.7700"
"2017/11/01","55.1300","7153924.0000","55.1000","55.5900","54.9400"
"2017/10/31","54.8400","8847147.0000","55.1600","55.3050","54.7000"
"2017/10/30","55.1700","6429484.0000","54.7900","55.2300","54.4000"
"2017/10/27","54.8800","9911717.0000","54.8300","55.1200","54.6800"
"2017/10/26","54.9100","12201750.0000","54.5000","55.7500","54.5000"
"2017/10/25","54.1600","8281066.0000","54.2400","54.3900","53.6600"
"2017/10/24","54.2800","7783225.0000","54.3700","54.5600","54.0200"
"2017/10/23","54.2700","10091560.0000","54.7700","54.9350","54.1800"
"2017/10/20","54.5700","11732260.0000","55.3100","55.4000","54.1750"
"2017/10/19","55.4000","5591562.0000","55.0800","55.5423","54.9000"
"2017/10/18","55.2100","8298900.0000","54.4600","55.4300","54.2200"
