,Restaurant Names,User Name,Follower Count
0,Red Lobster,redlobster,296664
1,SUBWAY®Restaurants,SUBWAY,2467427
2,Eatalian Cafe,EATALIANCAFE,158
3,In-N-Out Burger,innoutburger,44775
4,Hustler Casino,HUSTLERCASINOLA,2895
5,Roscoe's House of Chicken and Waffles,roscoesofficial,30909
6,Little Caesars Pizza,littlecaesars,232112
7,The Bicycle Hotel & Casino,BicycleCasino,9333
8,Chili's Grill & Bar,Chilis,383907
9,Fatburger,Fatburger,14993
10,Wingstop,wingstop,208253
11,Chuck E. Cheese's,ChuckECheeses,23749
12,TGI Fridays,TGIFridays,208950
13,Bossa Nova,Bossanovaeats,2321
14,Benihana,Benihana,13086
15,Olive Garden,olivegarden,385774
16,Taco Bell,tacobell,1888502
17,Jack Box,JackBox,91621
18,Wendy's,Wendys,2288957
19,McDonald's,McDonalds,3540391
20,Popeyes Chicken,PopeyesChicken,92760
21,Panera Bread,askpanera,563
22,Starbucks,Starbucks,11942459
23,Burger King,BurgerKing,1591887
24,Applebee's,Applebees,627246
